Time	TH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0000	-0.0000	1.0000	CycD	1.000000	nan
0.2000	1.0000	-0.0000	1.0000	CycD	1.000000	nan
0.4000	0.1380	1.0000	1.0000	CycD -- CycE	0.500308	0.000500	CycD -- CycA	0.499692	0.000500
0.6000	0.1839	0.9983	1.0000	CycD -- CycA	0.475959	0.000499	CycD -- CycE -- CycA	0.524041	0.000499
0.8000	0.8209	1.1057	1.0000	CycD -- CycA	0.439488	0.000496	CycD -- CycE -- CycA	0.542220	0.000498	CycD -- CycA -- CycB	0.018292	0.000134
1.0000	0.3123	1.6794	1.0000	CycD -- CycA	0.356903	0.000479	CycD -- CycE -- CycA	0.389505	0.000488	CycD -- CycB	0.000000	0.000000	CycD -- CycA -- CycB	0.228821	0.000420	CycD -- CycE -- CycA -- CycB	0.024771	0.000155
1.2000	0.6747	1.5057	1.0000	CycD	0.000000	0.000000	CycD -- CycA	0.434928	0.000496	CycD -- CycE -- CycA	0.053107	0.000224	CycD -- CycB	0.000315	0.000018	CycD -- CycE -- CycB	0.000000	0.000000	CycD -- CycA -- CycB	0.453946	0.000498	CycD -- CycE -- CycA -- CycB	0.057704	0.000233
1.4000	0.6701	1.2332	1.0000	CycD	0.000178	0.000013	CycD -- CycE	0.000000	0.000000	CycD -- CycA	0.302685	0.000459	CycD -- CycE -- CycA	0.000549	0.000023	CycD -- CycB	0.037063	0.000189	CycD -- CycE -- CycB	0.000516	0.000023	CycD -- CycA -- CycB	0.639890	0.000480	CycD -- CycE -- CycA -- CycB	0.019119	0.000137
1.6000	0.5975	1.4468	1.0000	CycD	0.029485	0.000169	CycD -- CycE	0.000308	0.000018	CycD -- CycA	0.157725	0.000364	CycD -- CycE -- CycA	0.001778	0.000042	CycD -- CycB	0.152890	0.000360	CycD -- CycE -- CycB	0.001795	0.000042	CycD -- CycA -- CycB	0.653081	0.000476	CycD -- CycE -- CycA -- CycB	0.002938	0.000054
1.8000	0.8843	1.8918	1.0000	CycD	0.177667	0.000382	CycD -- CycE	0.001451	0.000038	CycD -- CycA	0.198078	0.000399	CycD -- CycE -- CycA	0.001896	0.000044	CycD -- CycB	0.158400	0.000365	CycD -- CycE -- CycB	0.001563	0.000040	CycD -- CycA -- CycB	0.460538	0.000498	CycD -- CycE -- CycA -- CycB	0.000407	0.000020
