Trajectory	State	Proba	State	Proba	State	Proba	State	Proba
#63	T	0.3941868558	A -- T	0.3288028024	B -- T	0.1795431006	A -- B -- T	0.09746724118
#64	T	0.1677677082	A -- T	0.5949554067	B -- T	0.06928327079	A -- B -- T	0.1679936143
#65	T	0.3701436539	A -- T	0.4013615434	B -- T	0.1079590951	A -- B -- T	0.1205357075
#66	T	0.2646063943	A -- T	0.6193917346	B -- T	0.04648238594	A -- B -- T	0.06951948523
#67	T	0.8028589854	A -- T	0.06346321187	B -- T	0.04693716147	A -- B -- T	0.0867406413
#68	T	0.3988447675	A -- T	0.3855350448	B -- T	0.07309053539	A -- B -- T	0.1425296523
#69	T	0.307456837	A -- T	0.3171938301	B -- T	0.1258505197	A -- B -- T	0.2494988132
#70	T	0.3234781539	A -- T	0.3327810094	B -- T	0.08160871312	A -- B -- T	0.2621321236
#71	T	0.1724252956	A -- T	0.6649723776	B -- T	0.0788442672	A -- B -- T	0.08375805962
#72	T	0.50941294	A -- T	0.2282913903	B -- T	0.1226132561	A -- B -- T	0.1396824136
#73	T	0.2436322492	A -- T	0.4381542357	B -- T	0.2100095719	A -- B -- T	0.1082039431
#74	T	0.4438278713	A -- T	0.2944510873	B -- T	0.2085657364	A -- B -- T	0.05315530497
#75	T	0.5353737952	A -- T	0.3102400854	B -- T	0.05975102845	A -- B -- T	0.09463509097
#76	T	0.3142190108	A -- T	0.4429766939	B -- T	0.08670498867	A -- B -- T	0.1560993067
#77	T	0.5314481823	A -- T	0.1823928579	B -- T	0.1515554135	A -- B -- T	0.1346035463
#78	T	0.2919633362	A -- T	0.420182118	B -- T	0.04177671826	A -- B -- T	0.2460778276
#79	T	0.628837005	A -- T	0.180631562	B -- T	0.06387578005	A -- B -- T	0.1266556529
#80	T	0.3684934922	A -- T	0.3635637961	B -- T	0.1011010321	A -- B -- T	0.1668416795
#81	T	0.412081751	A -- T	0.1889258306	B -- T	0.3727600095	A -- B -- T	0.02623240891
#82	T	0.5563004712	A -- T	0.3237226191	B -- T	0.07713213371	A -- B -- T	0.04284477599
#83	T	0.3600431467	A -- T	0.2391433075	B -- T	0.2877102435	A -- B -- T	0.1131033023
#84	T	0.1872343174	A -- T	0.4887818568	B -- T	0.1918140685	A -- B -- T	0.1321697573
#85	T	0.7433235598	A -- T	0.07752994452	B -- T	0.04107536872	A -- B -- T	0.1380711269
#86	T	0.28835454	A -- T	0.4185608554	B -- T	0.05255948697	A -- B -- T	0.2405251177
#87	T	0.7275112334	A -- T	0.05345612686	B -- T	0.07328318785	A -- B -- T	0.1457494518
#88	T	0.3215776227	A -- T	0.3417526434	B -- T	0.1005943908	A -- B -- T	0.2360753431
#89	T	0.2176977779	A -- T	0.7284458542	B -- T	0.02794363512	A -- B -- T	0.02591273279
#90	T	0.4536972454	A -- T	0.3919935039	B -- T	0.05759923375	A -- B -- T	0.09671001689
#91	T	0.3671886795	A -- T	0.4300115643	B -- T	0.08777544299	A -- B -- T	0.1150243132
#92	T	0.5218539053	A -- T	0.2311100487	B -- T	0.1526764129	A -- B -- T	0.0943596331
#93	T	0.3785674513	A -- T	0.3149602873	B -- T	0.1630495762	A -- B -- T	0.1434226852
#94	T	0.2945037485	A -- T	0.2788559515	B -- T	0.1856919511	A -- B -- T	0.240948349
#95	T	0.4642198981	A -- T	0.2182784904	B -- T	0.2027286193	A -- B -- T	0.1147729922
#96	T	0.3451316705	A -- T	0.3512887922	B -- T	0.1596311441	A -- B -- T	0.1439483931
#97	T	0.7227390087	A -- T	0.1928418752	B -- T	0.04699957859	A -- B -- T	0.0374195375
#98	T	0.398407781	A -- T	0.5152550238	B -- T	0.04135701456	A -- B -- T	0.0449801806
#99	T	0.5449733232	A -- T	0.1757178878	B -- T	0.1294817823	A -- B -- T	0.1498270066
#100	T	0.4686005241	A -- T	0.2560278545	B -- T	0.1795600581	A -- B -- T	0.09581156333

Cluster	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba...
#1	T	0.4106074406	0.01840528468	A -- T	0.3445164655	0.01867745362	B -- T	0.1194701719	0.008150679509	A -- B -- T	0.1254059221	0.006949943062
FP	Node A: 0
Node B: 0
Node T: 0
	1.0'
