"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16"
0;0;21.8638762449091;-252.054799958931;6.67393156934998;8.49326387243345;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;178.863876244909;-252.054799958931;10.3745346621146;10.0973893917166;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;2.86387624490908;-251.054799958931;0.344690447890004;9.30956707578152;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;159.863876244909;-251.054799958931;10.1567348923527;10.0129560484551;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-16.1361237550909;-250.054799958931;-7.55692825976344;9.42130373334512;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;140.863876244909;-250.054799958931;-1.93154048441996;9.52008934514597;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-35.1361237550909;-249.054799958931;-0.296235686762395;8.84925766205415;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;121.863876244909;-249.054799958931;-0.768438631335628;9.30545796277002;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;191.863876244909;-249.054799958931;4.73634281623357;9.12492633620277;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;15.8638762449091;-248.054799958931;-10.0836151395656;8.86370747918263;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;172.863876244909;-248.054799958931;13.1086800693579;8.72447071559727;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-3.13612375509092;-247.054799958931;-0.789278065354134;8.85370854064822;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;153.863876244909;-247.054799958931;-2.67312654794122;8.99987177373841;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-22.1361237550909;-246.054799958931;6.02609016299434;9.57353710951284;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;134.863876244909;-246.054799958931;7.2511150876242;10.1897217050195;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-41.1361237550909;-245.054799958931;-3.12072101230723;9.74807017398998;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;28.8638762449091;-245.054799958931;3.13739802595464;10.2132120333612;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;185.863876244909;-245.054799958931;-7.68469499010659;9.21308949971572;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-436.136123755091;-244.054799958931;1.43440312381219;9.33755189748481;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-266.136123755091;-244.054799958931;-1.22695245053861;9.40339269405231;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;0.863876244909079;-244.054799958931;2.88069831843414;9.41679577026516;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;157.863876244909;-244.054799958931;-2.79717660412472;10.1975025582127;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-499.136123755091;-243.054799958931;-3.97884295428646;10.3630722366273;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-344.136123755091;-243.054799958931;-0.876402809928743;8.48459162246436;-1;-1;-1;-1;-1;-1;0;3;0;-1
0;0;-27.1361237550909;-243.054799958931;10.5898880372634;9.56889060940594;-1;-1;-1;-1;-1;-1;0;3;0;-1
